Random Item Generation By Treasure Level 1 - 6							
		Chance By Level					
Item #	Pic File	1	2	3	4	5	6
0							
1	Longsword1	5	5	2	0	0	0
2	Longsword2	0	10	5	2	0	0
3	Longsword3	0	0	10	5	2	0
4	Longsword4	0	0	10	10	5	0
5	Longsword5	0	0	0	0	10	10
6	2HSword1	0	5	10	5	2	0
7	2HSword2	0	2	5	10	2	0
8	2HSword3	0	0	0	2	10	10
9	Broadsword1	5	10	2	0	0	0
10	Broadsword2	0	5	10	5	0	0
11	Broadsword3	0	0	0	10	10	10
12	Cutlass1	10	5	2	0	0	0
13	Cutlass2	5	10	5	2	0	0
14	Cutlass3	0	0	2	5	10	10
15	Dagger1	10	10	5	0	0	0
16	Dagger2	5	10	5	0	0	0
17	Dagger3	0	5	10	10	5	0
18	Dagger4	0	0	5	10	5	0
19	Dagger5	0	0	0	2	5	15
20	Longdagger1	5	10	10	5	0	0
21	Longdagger2	0	5	10	10	5	0
22	Longdagger3	0	0	0	2	5	10
23	Axe1	10	5	2	0	0	0
24	Axe2	5	10	5	2	0	0
25	Axe3	0	5	10	5	2	0
26	Axe4	0	2	5	10	5	0
27	Axe5	0	0	0	2	5	10
28	2HAxe1	0	5	10	5	2	0
29	2HAxe2	0	2	5	10	2	0
30	2HAxe3	0	0	0	2	10	10
31	Spear1	10	10	2	0	0	0
32	Spear2	5	5	10	5	0	0
33	Spear3	0	2	5	10	5	0
34	Spear4	0	0	2	5	10	0
35	Spear5	0	0	0	2	5	10
36	Halberd1	0	5	10	5	2	0
37	Halberd2	0	2	5	10	5	0
38	Halberd3	0	0	0	2	5	10
39	Trident1	5	10	2	0	0	0
40	Trident2	0	0	10	5	5	0
41	Trident3	0	0	0	2	5	10
42	Bow1	5	10	5	0	0	0
43	Bow2	0	10	20	10	5	5
44	Bow3	0	5	10	20	10	10
45	Bow4	0	0	5	10	20	10
46	Bow5	0	0	0	5	10	20
47	Crossbow1	5	10	5	0	0	0
48	Crossbow2	0	5	10	10	10	0
49	Crossbow3	0	0	0	10	10	15
50	mace1	10	10	2	0	0	0
51	mace2	5	10	5	2	0	0
52	mace3	0	2	5	10	5	0
53	mace4	0	0	2	5	10	5
54	mace5	0	0	0	2	5	10
55	hammer1	10	10	5	0	0	0
56	hammer2	5	10	5	2	0	0
57	hammer3	0	0	0	2	5	10
58	Club1	10	5	2	0	0	0
59	Club2	5	5	2	2	0	0
60	Club3	0	5	5	5	10	0
61	Staff1	5	10	5	0	0	0
62	Staff2	0	5	10	5	2	0
63	Staff3	0	0	0	2	5	10
64	raygun1	0	0	0	0	0	0
65	raygun2	0	0	0	0	0	0
66	Leather1	25	35	0	0	0	0
67	Leather2	0	25	35	25	0	0
68	Leather3	0	0	25	35	25	0
69	Leather4	0	0	0	25	35	25
70	Leather5	0	0	0	0	25	35
71	Chain1	5	15	25	0	0	0
72	Chain2	0	10	25	10	0	0
73	Chain3	0	0	10	25	10	0
74	Chain4	0	0	0	10	25	10
75	Chain5	0	0	0	0	10	35
76	Plate1	0	5	10	25	10	0
77	Plate2	0	0	0	10	25	10
78	Plate3	0	0	0	0	10	35
79	Lshield1	10	10	5	0	0	0
80	Lshield2	5	10	5	0	0	0
81	Lshield3	0	5	10	5	0	0
82	Lshield4	0	0	5	10	10	5
83	Lshield5	0	0	0	0	10	20
84	Sshield1	15	15	5	0	0	0
85	Sshield2	5	10	5	0	0	0
86	Sshield3	0	5	10	5	0	0
87	Sshield4	0	0	5	10	15	10
88	Sshield5	0	0	0	0	10	20
89	Helm1	10	15	2	0	0	0
90	Helm2	5	10	15	5	0	0
91	Helm3	0	5	10	15	5	0
92	Helm4	0	0	5	10	15	5
93	Helm5	0	0	0	5	10	20
94	Hat1	0	10	10	5	2	0
95	Hat2	0	5	10	10	5	0
96	Hat3	0	5	5	10	10	5
97	Crown1	0	5	10	5	2	0
98	Crown2	0	5	5	10	5	0
99	Crown3	0	5	5	10	15	20
100	Belt1	0	10	5	5	2	0
101	Belt2	0	5	10	5	5	0
102	Belt3	0	5	5	10	5	0
103	Belt4	0	2	5	5	10	10
104	Belt5	0	0	2	5	10	20
105	Cape1	5	10	15	10	5	0
106	Cape2	5	10	15	10	5	0
107	Cape3	0	5	10	15	10	0
108	Cape4	0	0	5	10	15	10
109	Cape5	0	0	2	5	10	20
110	Gauntlet1	5	15	5	5	2	0
111	Gauntlet2	5	10	15	10	5	0
112	Gauntlet3	0	5	10	15	10	0
113	Gauntlet4	0	2	5	10	15	10
114	Gauntlet5	0	0	2	5	10	20
115	Boots1	10	15	10	5	2	0
116	Boots2	0	10	15	10	5	0
117	Boots3	0	0	5	10	15	0
118	Boots4	0	0	0	5	10	15
119	Boots5	0	0	0	2	15	25
120	Ring1	10	20	10	10	0	0
121	Ring2	10	15	20	10	0	0
122	Ring3	0	10	15	20	10	0
123	Ring4	0	5	10	20	15	0
124	Ring5	0	5	10	20	20	0
125	Ring6	0	2	5	10	20	0
126	Ring7	0	0	2	5	10	20
127	Ring8	0	0	2	5	10	20
128	Ring9	0	0	2	5	10	25
129	Ring10	0	0	0	0	20	30
130	Amulet1	0	10	10	10	10	0
131	Amulet2	0	5	10	10	10	0
132	Amulet3	0	2	5	10	10	0
133	Amulet4	0	0	2	5	10	20
134	Amulet5	0	0	2	5	10	25
135	wand1	0	2	2	2	0	0
136	wand1	0	2	2	2	0	0
137	wand1	0	2	2	2	0	0
138	wand1	0	2	2	2	0	0
139	wand1	0	2	2	2	0	0
140	wand2	0	1	2	2	0	0
141	wand2	0	1	2	2	0	0
142	wand2	0	1	2	2	0	0
143	wand2	0	1	2	2	0	0
144	wand2	0	1	2	2	0	0
145	wand3	0	0	1	2	3	0
146	wand3	0	0	1	2	3	0
147	wand3	0	0	1	2	3	0
148	wand3	0	0	1	2	3	0
149	wand3	0	0	1	2	3	0
150	wand4	0	0	0	1	2	3
151	wand4	0	0	0	1	2	3
152	wand4	0	0	0	1	2	3
153	wand4	0	0	0	1	2	3
154	wand4	0	0	0	1	2	3
155	wand5	0	0	0	0	2	5
156	wand5	0	0	0	0	2	5
157	wand5	0	0	0	0	2	5
158	wand5	0	0	0	0	2	5
159	wand5	0	0	0	0	2	5
160	herb1	20	0	0	0	0	0
